,0,1
118,1111.wav,1.9060561656951904
119,3884.wav,1.9327409267425537
120,0655.wav,1.9096660614013672
121,2560.wav,1.9006801843643188
122,1769.wav,1.9365780353546143
123,0787.wav,1.9362587928771973
124,2899.wav,1.9491336345672607
125,2411.wav,1.9237699508666992
126,2183.wav,1.9494142532348633
127,0760.wav,1.8973748683929443
128,2171.wav,1.9097776412963867
129,1916.wav,1.9628980159759521
130,0361.wav,1.9163858890533447
131,2266.wav,1.9343172311782837
132,3270.wav,1.9182753562927246
133,3921.wav,1.936053991317749
134,2242.wav,1.9257017374038696
135,1321.wav,1.9374561309814453
136,2388.wav,1.94007408618927
137,3358.wav,1.916451096534729
138,0868.wav,1.9140639305114746
139,0777.wav,1.9420249462127686
140,3444.wav,1.9208098649978638
141,1984.wav,1.8998223543167114
142,3110.wav,1.9161720275878906
143,0121.wav,1.943091630935669
144,3641.wav,1.9384737014770508
145,0112.wav,1.9023010730743408
146,0516.wav,1.9248836040496826
147,2434.wav,1.940483570098877
148,1073.wav,1.9494818449020386
149,1167.wav,1.9117004871368408
150,0223.wav,1.918318271636963
151,0456.wav,1.904090404510498
152,1474.wav,1.9171122312545776
153,2581.wav,1.949378490447998
154,1455.wav,1.9117567539215088
155,0080.wav,1.9279478788375854
156,0395.wav,1.9320603609085083
157,2203.wav,1.9477319717407227
158,1129.wav,1.9240859746932983
159,0623.wav,1.9420146942138672
160,1535.wav,1.944082498550415
161,2065.wav,1.9288427829742432
162,1595.wav,1.9247227907180786
163,0349.wav,1.9073894023895264
164,1048.wav,1.931333303451538
165,0131.wav,1.935243844985962
166,3026.wav,1.942854404449463
167,3990.wav,1.8887591361999512
168,0580.wav,1.9620627164840698
169,3993.wav,1.8913887739181519
170,1612.wav,1.8981186151504517
171,2988.wav,1.9420595169067383
172,0860.wav,1.8985296487808228
173,0331.wav,1.922168493270874
174,3881.wav,1.9327621459960938
175,3940.wav,1.943301796913147
176,2443.wav,1.9336605072021484
177,3808.wav,1.9160122871398926
178,3042.wav,1.9629626274108887
179,3025.wav,1.9436824321746826
180,2792.wav,1.9474494457244873
